Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry,,,,,,,,,
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,US Equity,Common stocks,Mid cap,4316550147,"671,754",Analyze,Aerospace & Defense,,,,,,,,,
MRCY,Mercury Systems Inc,Industrials,US Equity,Common stocks,Mid cap,2905499567,"318,818",Analyze,Aerospace & Defense,,,,,,,,,
SPR,Spirit Aerosystems Inc,Industrials,US Equity,Common stocks,Mid cap,2808165328,"1,889,844",Analyze,Aerospace & Defense,,,,,,,,,
MOG.A,Moog Inc. Class A,Industrials,US Equity,Common stocks,Mid cap,2770227917,"86,771",Analyze,Aerospace & Defense,,,,,,,,,
MOG.B,Moog Inc. Class B,Industrials,US Equity,Common stocks,Mid cap,2770227917,506,Analyze,Aerospace & Defense,,,,,,,,,
AVAV,Aerovironment Inc,Industrials,US Equity,Common stocks,Mid cap,2126822386,"195,332",Analyze,Aerospace & Defense,,,,,,,,,
ERJ,Embraer S.A. ADRs,Industrials,US Equity,ADRs,Small cap,1927060277,"1,656,147",Analyze,Aerospace & Defense,,,,,,,,,
RKLB,"Rocket Lab USA, Inc.",Industrials,US Equity,Common stocks,Small cap,1893028764,"3,635,305",Analyze,Aerospace & Defense,,,,,,,,,
AIR,AAR Corp,Industrials,US Equity,Common stocks,Small cap,1620487881,"151,491",Analyze,Aerospace & Defense,,,,,,,,,
PL,Planet Labs PBC Class A,Industrials,US Equity,Common stocks,Small cap,1297057200,"1,499,752",Analyze,Aerospace & Defense,,,,,,,,,
SPCE,"Virgin Galactic Holdings, Inc.",Industrials,US Equity,Common stocks,Small cap,1268463361,"4,595,368",Analyze,Aerospace & Defense,,,,,,,,,
KTOS,Kratos Defense & Security Solutions,Industrials,US Equity,Common stocks,Small cap,1173919119,"842,025",Analyze,Aerospace & Defense,,,,,,,,,
RGR,Sturm Ruger Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,1090201813,"136,863",Analyze,Aerospace & Defense,,,,,,,,,
CDRE,"Cadre Holdings, Inc.",Industrials,US Equity,Common stocks,Small cap,928453580,"186,391",Analyze,Aerospace & Defense,,,,,,,,,
VORB,"Virgin Orbit Holdings, Inc.",Industrials,US Equity,Common stocks,Small cap,876237138,"118,135",Analyze,Aerospace & Defense,,,,,,,,,
TGI,Triumph Group Inc,Industrials,US Equity,Common stocks,Small cap,763110601,"1,002,629",Analyze,Aerospace & Defense,,,,,,,,,
EVTL,Vertical Aerospace Ltd.,Industrials,US Equity,Common stocks,Small cap,703198917,"230,724",Analyze,Aerospace & Defense,,,,,,,,,
VSEC,Vse Corp,Industrials,US Equity,Common stocks,Small cap,627824206,"46,143",Analyze,Aerospace & Defense,,,,,,,,,
DCO,Ducommun Inc,Industrials,US Equity,Common stocks,Small cap,576919883,"38,294",Analyze,Aerospace & Defense,,,,,,,,,
KAMN,Kaman Corp,Industrials,US Equity,Common stocks,Small cap,572145836,"238,138",Analyze,Aerospace & Defense,,,,,,,,,
RADA,Rada Electronic Industries Ltd.,Industrials,US Equity,Common stocks,Small cap,559916160,"206,301",Analyze,Aerospace & Defense,,,,,,,,,
SWBI,"Smith & Wesson Brands, Inc.",Consumer Discretionary,US Equity,Common stocks,Small cap,540139725,"692,760",Analyze,Aerospace & Defense,,,,,,,,,
